"prompt_id","building_type","main_style","ev1","ev1_style","ev2","ev2_style","ev3","ev3_style","ev4","ev4_style","ev5","ev5_style","ev6","ev6_style","ev7","ev7_style","ev8","ev8_style","ev9","ev9_style","ev10","ev10_style"
"75","church","Pre-Romanesque","thick walls","Pre-Romanesque","small round arches","Pre-Romanesque","barrel vaults","Pre-Romanesque","compact massing","Pre-Romanesque","round arch","Pre-Romanesque","podium temple","Etruscan","hypostyle prayer hall","Umayyad-Abbasid","multi-storey pagoda","Japanese Buddhist temple","pyramidal gopuram gateway tower","South Indian temple (Dravidian)","stacked adobe massing","Pueblo"
"76","mosque","Umayyad-Abbasid","hypostyle prayer hall","Umayyad-Abbasid","horseshoe arches","Umayyad-Abbasid","early minarets","Umayyad-Abbasid","geometric ornament","Umayyad-Abbasid","horseshoe","Umayyad-Abbasid","downward-tapering columns","Minoan-Mycenaean","basilica churches","Coptic","multi-storey pagoda","Japanese Buddhist temple","corncob/lotus prasat towers","Khmer (Angkorian)","coral-stone construction","Swahili"
"77","palace","Moorish","horseshoe & polylobed arches","Moorish","muqarnas vaults","Moorish","zellij tilework","Moorish","intricate stucco","Moorish","horseshoe","Moorish","apadana hypostyle hall","Achaemenid Persian","westwork facade","Carolingian","gently curved tiled roof","Korean (Hanok)","hemispherical dagoba stupa","Sinhalese","stacked adobe massing","Pueblo"
"78","mosque","Mamluk","ablaq striped masonry","Mamluk","carved stone domes","Mamluk","tall ornate minarets","Mamluk","muqarnas portals","Mamluk","ablaq stripes, muqarnas","Mamluk","apadana hypostyle hall","Achaemenid Persian","basilica churches","Coptic","gently curved tiled roof","Korean (Hanok)","stepped stone temple","Javanese (Candi)","monolithic rock-hewn churches","Aksumite/Ethiopian"
"79","mosque","Ottoman","large central dome with semidomes","Ottoman","pencil minarets","Ottoman","cascading domes","Ottoman","courtyard portico","Ottoman","central dome with semidomes","Ottoman","round arches","Ancient Roman","basilica churches","Coptic","inward-sloping massive walls","Tibetan","corncob/lotus prasat towers","Khmer (Angkorian)","precise ashlar drystone masonry","Inca"
"80","mosque","Safavid/Persian","bulbous tiled domes","Safavid/Persian","tall iwan portals","Safavid/Persian","blue faience tilework","Safavid/Persian","twin minarets","Safavid/Persian","onion dome","Safavid/Persian","Doric/Ionic/Corinthian colonnade","Ancient Greek","alternating piers and columns","Ottonian","multi-storey pagoda","Japanese Buddhist temple","curved tiled roof with ridge ornament","Vietnamese traditional","monolithic rock-hewn churches","Aksumite/Ethiopian"
"81","mausoleum","Mughal","central onion dome","Mughal","corner minarets","Mughal","pointed-arch iwan","Mughal","pietra-dura marble inlay","Mughal","chhatri pavilions","Mughal","round arches","Ancient Roman","horseshoe arches","Visigothic","multi-tier upturned-eave roof","Traditional Chinese","hemispherical dagoba stupa","Sinhalese","mud-brick (banco) walls","Sudano-Sahelian"
"82","mausoleum","Indo-Islamic","pointed arches","Indo-Islamic","domes on squinches","Indo-Islamic","red sandstone","Indo-Islamic","blended Hindu-Islamic ornament","Indo-Islamic","pointed","Indo-Islamic","round arches","Ancient Roman","basilica plan","Early Christian","inward-sloping massive walls","Tibetan","stepped stone temple","Javanese (Candi)","twin-temple stepped pyramid","Aztec"
"83","mosque","Fatimid","keel arches","Fatimid","projecting entrance portals","Fatimid","carved stucco","Fatimid","ribbed domes","Fatimid","keel/pointed","Fatimid","massive battered (sloping) walls","Ancient Egyptian","thick walls","Pre-Romanesque","gently curved tiled roof","Korean (Hanok)","steep multi-tier roofs","Thai","monolithic rock-hewn churches","Aksumite/Ethiopian"
"84","temple","Traditional Chinese","multi-tier upturned-eave roof","Traditional Chinese","dougong timber brackets","Traditional Chinese","red lacquered columns","Traditional Chinese","glazed ceramic roof tiles","Traditional Chinese","symmetrical courtyard","Traditional Chinese","downward-tapering columns","Minoan-Mycenaean","alternating piers and columns","Ottonian","pointed arches","Indo-Islamic","hemispherical dagoba stupa","Sinhalese","coral-stone construction","Swahili"
"85","pavilion","Traditional Japanese","irimoya hip-and-gable roof","Traditional Japanese","deep overhanging eaves","Traditional Japanese","timber post-and-beam","Traditional Japanese","shoji screens","Traditional Japanese","raised wooden veranda","Traditional Japanese","ziggurat stepped platform","Mesopotamian","thick walls","Pre-Romanesque","hypostyle prayer hall","Umayyad-Abbasid","hemispherical dagoba stupa","Sinhalese","stepped pyramid with temple","Maya"
"86","temple","Japanese Buddhist temple","multi-storey pagoda","Japanese Buddhist temple","bracket complexes","Japanese Buddhist temple","deep tiered eaves","Japanese Buddhist temple","central pillar (shinbashira)","Japanese Buddhist temple","pagoda","Japanese Buddhist temple","ziggurat stepped platform","Mesopotamian","westwork facade","Carolingian","hypostyle prayer hall","Umayyad-Abbasid","hemispherical dagoba stupa","Sinhalese","precise ashlar drystone masonry","Inca"
"87","pavilion","Korean (Hanok)","gently curved tiled roof","Korean (Hanok)","wooden post-and-beam","Korean (Hanok)","ondol floor","Korean (Hanok)","giwa roof tiles","Korean (Hanok)","gently curved tile","Korean (Hanok)","ziggurat stepped platform","Mesopotamian","central pendentive dome","Byzantine","horseshoe & polylobed arches","Moorish","hemispherical dagoba stupa","Sinhalese","monolithic rock-hewn churches","Aksumite/Ethiopian"
"88","temple","Tibetan","inward-sloping massive walls","Tibetan","flat roofs with parapet","Tibetan","trapezoidal windows","Tibetan","bright painted bands","Tibetan","battered massive walls","Tibetan","podium temple","Etruscan","westwork facade","Carolingian","central onion dome","Mughal","steep multi-tier roofs","Thai","twin-temple stepped pyramid","Aztec"
"89","temple","North Indian temple (Nagara)","curvilinear shikhara tower","North Indian temple (Nagara)","amalaka finial","North Indian temple (Nagara)","carved stone relief","North Indian temple (Nagara)","mandapa hall","North Indian temple (Nagara)","shikhara","North Indian temple (Nagara)","Doric/Ionic/Corinthian colonnade","Ancient Greek","horseshoe arches","Visigothic","hypostyle prayer hall","Umayyad-Abbasid","multi-storey pagoda","Japanese Buddhist temple","mud-brick (banco) walls","Sudano-Sahelian"
"90","temple","South Indian temple (Dravidian)","pyramidal gopuram gateway tower","South Indian temple (Dravidian)","tiered vimana","South Indian temple (Dravidian)","pillared mandapa","South Indian temple (Dravidian)","abundant figural sculpture","South Indian temple (Dravidian)","gopuram","South Indian temple (Dravidian)","Doric/Ionic/Corinthian colonnade","Ancient Greek","alternating piers and columns","Ottonian","keel arches","Fatimid","multi-storey pagoda","Japanese Buddhist temple","stacked adobe massing","Pueblo"
"91","temple","Khmer (Angkorian)","corncob/lotus prasat towers","Khmer (Angkorian)","stepped pyramid temple-mountain","Khmer (Angkorian)","bas-relief galleries","Khmer (Angkorian)","laterite & sandstone","Khmer (Angkorian)","prasat tower","Khmer (Angkorian)","ziggurat stepped platform","Mesopotamian","alternating piers and columns","Ottonian","ablaq striped masonry","Mamluk","inward-sloping massive walls","Tibetan","mud-brick (banco) walls","Sudano-Sahelian"
"92","temple","Thai","steep multi-tier roofs","Thai","gilded chofa finials","Thai","prang & chedi spires","Thai","ornate gables","Thai","steep multi-tier, gilded","Thai","podium temple","Etruscan","basilica churches","Coptic","pointed arches","Indo-Islamic","multi-storey pagoda","Japanese Buddhist temple","twin-temple stepped pyramid","Aztec"
"93","temple","Burmese","bell-shaped stupa","Burmese","gilded sikhara","Burmese","tiered pyatthat roof","Burmese","terraced temples","Burmese","stupa","Burmese","apadana hypostyle hall","Achaemenid Persian","central pendentive dome","Byzantine","horseshoe & polylobed arches","Moorish","inward-sloping massive walls","Tibetan","stepped pyramid with temple","Maya"
"94","temple","Javanese (Candi)","stepped stone temple","Javanese (Candi)","stupa crown","Javanese (Candi)","relief panels","Javanese (Candi)","corbelled chambers","Javanese (Candi)","stepped pyramid","Javanese (Candi)","massive battered (sloping) walls","Ancient Egyptian","central pendentive dome","Byzantine","horseshoe & polylobed arches","Moorish","multi-storey pagoda","Japanese Buddhist temple","precise ashlar drystone masonry","Inca"
"95","pavilion","Vietnamese traditional","curved tiled roof with ridge ornament","Vietnamese traditional","timber post-and-beam","Vietnamese traditional","communal house (đình) layout","Vietnamese traditional","low horizontal massing","Vietnamese traditional","curved tile, ridge figures","Vietnamese traditional","massive battered (sloping) walls","Ancient Egyptian","horseshoe arches","Visigothic","pointed arches","Indo-Islamic","irimoya hip-and-gable roof","Traditional Japanese","coral-stone construction","Swahili"
"96","temple","Maya","stepped pyramid with temple","Maya","corbel arch","Maya","roof combs","Maya","carved stucco facades","Maya","stepped pyramid","Maya","apadana hypostyle hall","Achaemenid Persian","horseshoe arches","Visigothic","central onion dome","Mughal","inward-sloping massive walls","Tibetan","corncob/lotus prasat towers","Khmer (Angkorian)"
"97","temple","Aztec","twin-temple stepped pyramid","Aztec","double stairways","Aztec","stone serpent heads","Aztec","platform plazas","Aztec","stepped pyramid","Aztec","podium temple","Etruscan","basilica plan","Early Christian","keel arches","Fatimid","irimoya hip-and-gable roof","Traditional Japanese","corncob/lotus prasat towers","Khmer (Angkorian)"
"98","temple","Inca","precise ashlar drystone masonry","Inca","trapezoidal doors & niches","Inca","inward-leaning walls","Inca","terraced sites","Inca","ashlar drystone","Inca","massive battered (sloping) walls","Ancient Egyptian","thick walls","Pre-Romanesque","bulbous tiled domes","Safavid/Persian","irimoya hip-and-gable roof","Traditional Japanese","hemispherical dagoba stupa","Sinhalese"
"99","mansion","Pueblo","stacked adobe massing","Pueblo","flat roofs with projecting vigas","Pueblo","rounded earthen walls","Pueblo","terraced stories","Pueblo","adobe/mud","Pueblo","podium temple","Etruscan","basilica churches","Coptic","keel arches","Fatimid","irimoya hip-and-gable roof","Traditional Japanese","hemispherical dagoba stupa","Sinhalese"
"100","mosque","Sudano-Sahelian","mud-brick (banco) walls","Sudano-Sahelian","projecting wooden toron beams","Sudano-Sahelian","tapering buttress-pinnacles","Sudano-Sahelian","smooth earthen plaster","Sudano-Sahelian","adobe/mud","Sudano-Sahelian","downward-tapering columns","Minoan-Mycenaean","alternating piers and columns","Ottonian","ablaq striped masonry","Mamluk","multi-storey pagoda","Japanese Buddhist temple","corncob/lotus prasat towers","Khmer (Angkorian)"
